road_addr,building_x,building_y,entrance_x,entrance_y,floor_coun,building_c,x,y,near_r_x,near_r_y,near_rv_x,near_rv_y,dist_r_rv,reco_x,reco_y,reco_dist_m,reco_method
서울특별시 금천구 독산로50길 151,"948055.998015","1940511.674265","948057.9464","1940503.623817","5.0","1","948057.9464","1940503.623817","948059.680","1940491.685","948053.421","1940489.968","6.490",,,,
서울특별시 금천구 독산로50길 151-1,"948073.556123","1940515.725124","948068.586656","1940510.633043","7.0","1","948068.586656","1940510.633043","948071.098","1940493.343","948055.422","1940489.289","16.190",,,,
서울특별시 금천구 독산로50길 155,"948068.956567","1940482.62908","948059.843571","1940478.51831","4.0","1","948059.843571","1940478.51831","948054.052","1940479.271","948055.690","1940478.637","1.760",,,,
서울특별시 금천구 독산로50길 163-5,"948078.514012","1940431.499306","948076.229249","1940426.395496","2.0","1","948076.229249","1940426.395496","948075.459","1940419.669","948076.195","1940420.927","1.460",,,,
서울특별시 금천구 독산로50길 163-6 에이동,"948078.811171","1940405.042239","948078.5465","1940411.148357","5.0","1","948078.811171","1940405.042239","948085.403","1940404.404","948085.314","1940405.002","0.600",,,,
서울특별시 금천구 독산로50길 163-7 주택,"948087.616169","1940430.400489","948085.73651","1940425.205596","2.0","1","948085.73651","1940425.205596","948084.978","1940418.579","948085.409","1940420.204","1.680",,,,
서울특별시 금천구 독산로50길 163-9,"948100.01249","1940429.798918","948096.960735","1940422.23725","4.0","1","948096.960735","1940422.23725","948096.393","1940417.273","948096.946","1940419.799","2.590",,,,
서울특별시 금천구 독산로50길 163-10 가동,"948100.602057","1940406.700289","948099.895986","1940409.64027","4.0","1","948100.602057","1940406.700289","948101.741","1940416.662","948100.669","1940417.446","1.330",,,,
서울특별시 금천구 독산로50길 163-13,"948115.996509","1940427.703251","948115.692793","1940422.206096","3.0","1","948115.692793","1940422.206096","948114.887","1940415.159","948114.476","1940418.026","2.900",,,,
서울특별시 금천구 독산로50길 163-14 나동,"948114.403513","1940390.596847","948114.208937","1940410.609149","4.0","2","948114.403513","1940390.596847","948117.182","1940414.896","948116.133","1940415.686","1.310",,,,
